आजको खबर के छ?	What's the news today?
मेरो परिवार पनि स्पेनमा छ।	My family is also in Spain.
स्पेन कस्तो देश हो?	What kind of country is Spain?
नमस्ते, मेरो नाम James हो। मैले इटली बाट आएको हुँ।	Hello, my name is James. I came from Italy.
के तपाइँ Italyबाट हुनुहुन्छ?	Are you from Italy?
मेरो परिवार पनि इटलीमा छ।	My family is also in Italy.
इटली कस्तो देश हो?	What kind of country is Italy?
नमस्ते, मेरो नाम James हो। मैले थाइल्यान्ड बाट आएको हुँ।	Hello, my name is James. I came from Thailand.
के तपाइँ Thailandबाट हुनुहुन्छ?	Are you from Thailand?
मेरो परिवार पनि थाइल्यान्डमा छ।	My family is also in Thailand.
थाइल्यान्ड कस्तो देश हो?	What kind of country is Thailand?
नमस्ते, मेरो नाम James हो। मैले मलेसिया बाट आएको हुँ।	Hello, my name is James. I came from Malaysia.
के तपाइँ Malaysiaबाट हुनुहुन्छ?	Are you from Malaysia?
मेरो परिवार पनि मलेसियामा छ।	My family is also in Malaysia.
मलेसिया कस्तो देश हो?	What kind of country is Malaysia?
नमस्ते, मेरो नाम James हो। मैले सिङ्गापुर बाट आएको हुँ।	Hello, my name is James. I came from Singapore.
के तपाइँ Singaporeबाट हुनुहुन्छ?	Are you from Singapore?
मेरो परिवार पनि सिङ्गापुरमा छ।	My family is also in Singapore.
सिङ्गापुर कस्तो देश हो?	What kind of country is Singapore?
नमस्ते, मेरो नाम James हो। मैले भारत बाट आएको हुँ।	Hello, my name is James. I came from India.
के तपाइँ Indiaबाट हुनुहुन्छ?	Are you from India?
मेरो परिवार पनि भारतमा छ।	My family is also in India.
भारत कस्तो देश हो?	What kind of country is India?
नमस्ते, मेरो नाम James हो। मैले श्रीलङ्का बाट आएको हुँ।	Hello, my name is James. I came from Sri Lanka.
के तपाइँ Sri Lankaबाट हुनुहुन्छ?	Are you from Sri Lanka?
मेरो परिवार पनि श्रीलङ्कामा छ।	My family is also in Sri Lanka.
श्रीलङ्का कस्तो देश हो?	What kind of country is Sri Lanka?
नमस्ते, मेरो नाम Patricia हो। मैले अमेरिका बाट आएको हुँ।	Hello, my name is Patricia. I came from America.
के तपाइँ Americaबाट हुनुहुन्छ?	Are you from America?
मेरो परिवार पनि अमेरिकामा छ।	My family is also in America.
अमेरिका कस्तो देश हो?	What kind of country is America?
नमस्ते, मेरो नाम Patricia हो। मैले अंग्रेज बाट आएको हुँ।	Hello, my name is Patricia. I came from England.
के तपाइँ Englandबाट हुनुहुन्छ?	Are you from England?
मेरो परिवार पनि अंग्रेजमा छ।	My family is also in England.
अंग्रेज कस्तो देश हो?	What kind of country is England?
नमस्ते, मेरो नाम Patricia हो। मैले जर्मनी बाट आएको हुँ।	Hello, my name is Patricia. I came from Germany.
के तपाइँ Germanyबाट हुनुहुन्छ?	Are you from Germany?
मेरो परिवार पनि जर्मनीमा छ।	My family is also in Germany.
जर्मनी कस्तो देश हो?	What kind of country is Germany?
नमस्ते, मेरो नाम Patricia हो। मैले फ्रान्स बाट आएको हुँ।	Hello, my name is Patricia. I came from France.
के तपाइँ Franceबाट हुनुहुन्छ?	Are you from France?
मेरो परिवार पनि फ्रान्समा छ।	My family is also in France.
फ्रान्स कस्तो देश हो?	What kind of country is France?
नमस्ते, मेरो नाम Patricia हो। मैले अस्ट्रेलिया बाट आएको हुँ।	Hello, my name is Patricia. I came from Australia.
के तपाइँ Australiaबाट हुनुहुन्छ?	Are you from Australia?
मेरो परिवार पनि अस्ट्रेलियामा छ।	My family is also in Australia.
अस्ट्रेलिया कस्तो देश हो?	What kind of country is Australia?
नमस्ते, मेरो नाम Patricia हो। मैले कनाडा बाट आएको हुँ।	Hello, my name is Patricia. I came from Canada.
के तपाइँ Canadaबाट हुनुहुन्छ?	Are you from Canada?
मेरो परिवार पनि कनाडामा छ।	My family is also in Canada.
कनाडा कस्तो देश हो?	What kind of country is Canada?
नमस्ते, मेरो नाम Patricia हो। मैले जापान बाट आएको हुँ।	Hello, my name is Patricia. I came from Japan.
के तपाइँ Japanबाट हुनुहुन्छ?	Are you from Japan?
मेरो परिवार पनि जापानमा छ।	My family is also in Japan.
जापान कस्तो देश हो?	What kind of country is Japan?
नमस्ते, मेरो नाम Patricia हो। मैले दक्षिण कोरिया बाट आएको हुँ।	Hello, my name is Patricia. I came from South Korea.
के तपाइँ South Koreaबाट हुनुहुन्छ?	Are you from South Korea?
मेरो परिवार पनि दक्षिण कोरियामा छ।	My family is also in South Korea.
दक्षिण कोरिया कस्तो देश हो?	What kind of country is South Korea?
नमस्ते, मेरो नाम Patricia हो। मैले स्पेन बाट आएको हुँ।	Hello, my name is Patricia. I came from Spain.
के तपाइँ Spainबाट हुनुहुन्छ?	Are you from Spain?
मेरो परिवार पनि स्पेनमा छ।	My family is also in Spain.
स्पेन कस्तो देश हो?	What kind of country is Spain?
नमस्ते, मेरो नाम Patricia हो। मैले इटली बाट आएको हुँ।	Hello, my name is Patricia. I came from Italy.
के तपाइँ Italyबाट हुनुहुन्छ?	Are you from Italy?
मेरो परिवार पनि इटलीमा छ।	My family is also in Italy.
इटली कस्तो देश हो?	What kind of country is Italy?
नमस्ते, मेरो नाम Patricia हो। मैले थाइल्यान्ड बाट आएको हुँ।	Hello, my name is Patricia. I came from Thailand.
के तपाइँ Thailandबाट हुनुहुन्छ?	Are you from Thailand?
मेरो परिवार पनि थाइल्यान्डमा छ।	My family is also in Thailand.
थाइल्यान्ड कस्तो देश हो?	What kind of country is Thailand?
नमस्ते, मेरो नाम Patricia हो। मैले मलेसिया बाट आएको हुँ।	Hello, my name is Patricia. I came from Malaysia.
के तपाइँ Malaysiaबाट हुनुहुन्छ?	Are you from Malaysia?
मेरो परिवार पनि मलेसियामा छ।	My family is also in Malaysia.
मलेसिया कस्तो देश हो?	What kind of country is Malaysia?
नमस्ते, मेरो नाम Patricia हो। मैले सिङ्गापुर बाट आएको हुँ।	Hello, my name is Patricia. I came from Singapore.
के तपाइँ Singaporeबाट हुनुहुन्छ?	Are you from Singapore?
मेरो परिवार पनि सिङ्गापुरमा छ।	My family is also in Singapore.
सिङ्गापुर कस्तो देश हो?	What kind of country is Singapore?
नमस्ते, मेरो नाम Patricia हो। मैले भारत बाट आएको हुँ।	Hello, my name is Patricia. I came from India.
के तपाइँ Indiaबाट हुनुहुन्छ?	Are you from India?
मेरो परिवार पनि भारतमा छ।	My family is also in India.
भारत कस्तो देश हो?	What kind of country is India?
नमस्ते, मेरो नाम Patricia हो। मैले श्रीलङ्का बाट आएको हुँ।	Hello, my name is Patricia. I came from Sri Lanka.
के तपाइँ Sri Lankaबाट हुनुहुन्छ?	Are you from Sri Lanka?
मेरो परिवार पनि श्रीलङ्कामा छ।	My family is also in Sri Lanka.
श्रीलङ्का कस्तो देश हो?	What kind of country is Sri Lanka?
नमस्ते, मेरो नाम Robert हो। मैले अमेरिका बाट आएको हुँ।	Hello, my name is Robert. I came from America.
के तपाइँ Americaबाट हुनुहुन्छ?	Are you from America?
मेरो परिवार पनि अमेरिकामा छ।	My family is also in America.
अमेरिका कस्तो देश हो?	What kind of country is America?
नमस्ते, मेरो नाम Robert हो। मैले अंग्रेज बाट आएको हुँ।	Hello, my name is Robert. I came from England.
के तपाइँ Englandबाट हुनुहुन्छ?	Are you from England?
मेरो परिवार पनि अंग्रेजमा छ।	My family is also in England.
अंग्रेज कस्तो देश हो?	What kind of country is England?
नमस्ते, मेरो नाम Robert हो। मैले जर्मनी बाट आएको हुँ।	Hello, my name is Robert. I came from Germany.
के तपाइँ Germanyबाट हुनुहुन्छ?	Are you from Germany?
मेरो परिवार पनि जर्मनीमा छ।	My family is also in Germany.
जर्मनी कस्तो देश हो?	What kind of country is Germany?
नमस्ते, मेरो नाम Robert हो। मैले फ्रान्स बाट आएको हुँ।	Hello, my name is Robert. I came from France.
के तपाइँ Franceबाट हुनुहुन्छ?	Are you from France?
मेरो परिवार पनि फ्रान्समा छ।	My family is also in France.
फ्रान्स कस्तो देश हो?	What kind of country is France?
नमस्ते, मेरो नाम Robert हो। मैले अस्ट्रेलिया बाट आएको हुँ।	Hello, my name is Robert. I came from Australia.
के तपाइँ Australiaबाट हुनुहुन्छ?	Are you from Australia?
मेरो परिवार पनि अस्ट्रेलियामा छ।	My family is also in Australia.
अस्ट्रेलिया कस्तो देश हो?	What kind of country is Australia?
नमस्ते, मेरो नाम Robert हो। मैले कनाडा बाट आएको हुँ।	Hello, my name is Robert. I came from Canada.
के तपाइँ Canadaबाट हुनुहुन्छ?	Are you from Canada?
मेरो परिवार पनि कनाडामा छ।	My family is also in Canada.
कनाडा कस्तो देश हो?	What kind of country is Canada?
नमस्ते, मेरो नाम Robert हो। मैले जापान बाट आएको हुँ।	Hello, my name is Robert. I came from Japan.
के तपाइँ Japanबाट हुनुहुन्छ?	Are you from Japan?
मेरो परिवार पनि जापानमा छ।	My family is also in Japan.
जापान कस्तो देश हो?	What kind of country is Japan?
नमस्ते, मेरो नाम Robert हो। मैले दक्षिण कोरिया बाट आएको हुँ।	Hello, my name is Robert. I came from South Korea.
के तपाइँ South Koreaबाट हुनुहुन्छ?	Are you from South Korea?
मेरो परिवार पनि दक्षिण कोरियामा छ।	My family is also in South Korea.
दक्षिण कोरिया कस्तो देश हो?	What kind of country is South Korea?
नमस्ते, मेरो नाम Robert हो। मैले स्पेन बाट आएको हुँ।	Hello, my name is Robert. I came from Spain.
के तपाइँ Spainबाट हुनुहुन्छ?	Are you from Spain?
मेरो परिवार पनि स्पेनमा छ।	My family is also in Spain.
स्पेन कस्तो देश हो?	What kind of country is Spain?
नमस्ते, मेरो नाम Robert हो। मैले इटली बाट आएको हुँ।	Hello, my name is Robert. I came from Italy.
के तपाइँ Italyबाट हुनुहुन्छ?	Are you from Italy?
मेरो परिवार पनि इटलीमा छ।	My family is also in Italy.
इटली कस्तो देश हो?	What kind of country is Italy?
नमस्ते, मेरो नाम Robert हो। मैले थाइल्यान्ड बाट आएको हुँ।	Hello, my name is Robert. I came from Thailand.
के तपाइँ Thailandबाट हुनुहुन्छ?	Are you from Thailand?
मेरो परिवार पनि थाइल्यान्डमा छ।	My family is also in Thailand.
थाइल्यान्ड कस्तो देश हो?	What kind of country is Thailand?
नमस्ते, मेरो नाम Robert हो। मैले मलेसिया बाट आएको हुँ।	Hello, my name is Robert. I came from Malaysia.
के तपाइँ Malaysiaबाट हुनुहुन्छ?	Are you from Malaysia?
मेरो परिवार पनि मलेसियामा छ।	My family is also in Malaysia.
मलेसिया कस्तो देश हो?	What kind of country is Malaysia?
नमस्ते, मेरो नाम Robert हो। मैले सिङ्गापुर बाट आएको हुँ।	Hello, my name is Robert. I came from Singapore.
के तपाइँ Singaporeबाट हुनुहुन्छ?	Are you from Singapore?
मेरो परिवार पनि सिङ्गापुरमा छ।	My family is also in Singapore.
सिङ्गापुर कस्तो देश हो?	What kind of country is Singapore?
नमस्ते, मेरो नाम Robert हो। मैले भारत बाट आएको हुँ।	Hello, my name is Robert. I came from India.
के तपाइँ Indiaबाट हुनुहुन्छ?	Are you from India?
मेरो परिवार पनि भारतमा छ।	My family is also in India.
भारत कस्तो देश हो?	What kind of country is India?
नमस्ते, मेरो नाम Robert हो। मैले श्रीलङ्का बाट आएको हुँ।	Hello, my name is Robert. I came from Sri Lanka.
के तपाइँ Sri Lankaबाट हुनुहुन्छ?	Are you from Sri Lanka?
मेरो परिवार पनि श्रीलङ्कामा छ।	My family is also in Sri Lanka.
श्रीलङ्का कस्तो देश हो?	What kind of country is Sri Lanka?
नमस्ते, मेरो नाम Jennifer हो। मैले अमेरिका बाट आएको हुँ।	Hello, my name is Jennifer. I came from America.
के तपाइँ Americaबाट हुनुहुन्छ?	Are you from America?
मेरो परिवार पनि अमेरिकामा छ।	My family is also in America.
अमेरिका कस्तो देश हो?	What kind of country is America?
नमस्ते, मेरो नाम Jennifer हो। मैले अंग्रेज बाट आएको हुँ।	Hello, my name is Jennifer. I came from England.
के तपाइँ Englandबाट हुनुहुन्छ?	Are you from England?
मेरो परिवार पनि अंग्रेजमा छ।	My family is also in England.
अंग्रेज कस्तो देश हो?	What kind of country is England?
नमस्ते, मेरो नाम Jennifer हो। मैले जर्मनी बाट आएको हुँ।	Hello, my name is Jennifer. I came from Germany.
के तपाइँ Germanyबाट हुनुहुन्छ?	Are you from Germany?
मेरो परिवार पनि जर्मनीमा छ।	My family is also in Germany.
जर्मनी कस्तो देश हो?	What kind of country is Germany?
नमस्ते, मेरो नाम Jennifer हो। मैले फ्रान्स बाट आएको हुँ।	Hello, my name is Jennifer. I came from France.
के तपाइँ Franceबाट हुनुहुन्छ?	Are you from France?
मेरो परिवार पनि फ्रान्समा छ।	My family is also in France.
फ्रान्स कस्तो देश हो?	What kind of country is France?
नमस्ते, मेरो नाम Jennifer हो। मैले अस्ट्रेलिया बाट आएको हुँ।	Hello, my name is Jennifer. I came from Australia.
के तपाइँ Australiaबाट हुनुहुन्छ?	Are you from Australia?
मेरो परिवार पनि अस्ट्रेलियामा छ।	My family is also in Australia.
अस्ट्रेलिया कस्तो देश हो?	What kind of country is Australia?
नमस्ते, मेरो नाम Jennifer हो। मैले कनाडा बाट आएको हुँ।	Hello, my name is Jennifer. I came from Canada.
के तपाइँ Canadaबाट हुनुहुन्छ?	Are you from Canada?
मेरो परिवार पनि कनाडामा छ।	My family is also in Canada.
कनाडा कस्तो देश हो?	What kind of country is Canada?
नमस्ते, मेरो नाम Jennifer हो। मैले जापान बाट आएको हुँ।	Hello, my name is Jennifer. I came from Japan.
के तपाइँ Japanबाट हुनुहुन्छ?	Are you from Japan?
मेरो परिवार पनि जापानमा छ।	My family is also in Japan.
जापान कस्तो देश हो?	What kind of country is Japan?
नमस्ते, मेरो नाम Jennifer हो। मैले दक्षिण कोरिया बाट आएको हुँ।	Hello, my name is Jennifer. I came from South Korea.
के तपाइँ South Koreaबाट हुनुहुन्छ?	Are you from South Korea?
मेरो परिवार पनि दक्षिण कोरियामा छ।	My family is also in South Korea.
दक्षिण कोरिया कस्तो देश हो?	What kind of country is South Korea?
नमस्ते, मेरो नाम Jennifer हो। मैले स्पेन बाट आएको हुँ।	Hello, my name is Jennifer. I came from Spain.
के तपाइँ Spainबाट हुनुहुन्छ?	Are you from Spain?
मेरो परिवार पनि स्पेनमा छ।	My family is also in Spain.
स्पेन कस्तो देश हो?	What kind of country is Spain?
नमस्ते, मेरो नाम Jennifer हो। मैले इटली बाट आएको हुँ।	Hello, my name is Jennifer. I came from Italy.
के तपाइँ Italyबाट हुनुहुन्छ?	Are you from Italy?
मेरो परिवार पनि इटलीमा छ।	My family is also in Italy.
इटली कस्तो देश हो?	What kind of country is Italy?
नमस्ते, मेरो नाम Jennifer हो। मैले थाइल्यान्ड बाट आएको हुँ।	Hello, my name is Jennifer. I came from Thailand.
के तपाइँ Thailandबाट हुनुहुन्छ?	Are you from Thailand?
मेरो परिवार पनि थाइल्यान्डमा छ।	My family is also in Thailand.
थाइल्यान्ड कस्तो देश हो?	What kind of country is Thailand?
नमस्ते, मेरो नाम Jennifer हो। मैले मलेसिया बाट आएको हुँ।	Hello, my name is Jennifer. I came from Malaysia.
के तपाइँ Malaysiaबाट हुनुहुन्छ?	Are you from Malaysia?
मेरो परिवार पनि मलेसियामा छ।	My family is also in Malaysia.
मलेसिया कस्तो देश हो?	What kind of country is Malaysia?
नमस्ते, मेरो नाम Jennifer हो। मैले सिङ्गापुर बाट आएको हुँ।	Hello, my name is Jennifer. I came from Singapore.
के तपाइँ Singaporeबाट हुनुहुन्छ?	Are you from Singapore?
मेरो परिवार पनि सिङ्गापुरमा छ।	My family is also in Singapore.
सिङ्गापुर कस्तो देश हो?	What kind of country is Singapore?
नमस्ते, मेरो नाम Jennifer हो। मैले भारत बाट आएको हुँ।	Hello, my name is Jennifer. I came from India.
के तपाइँ Indiaबाट हुनुहुन्छ?	Are you from India?
मेरो परिवार पनि भारतमा छ।	My family is also in India.
भारत कस्तो देश हो?	What kind of country is India?
नमस्ते, मेरो नाम Jennifer हो। मैले श्रीलङ्का बाट आएको हुँ।	Hello, my name is Jennifer. I came from Sri Lanka.
के तपाइँ Sri Lankaबाट हुनुहुन्छ?	Are you from Sri Lanka?
मेरो परिवार पनि श्रीलङ्कामा छ।	My family is also in Sri Lanka.
श्रीलङ्का कस्तो देश हो?	What kind of country is Sri Lanka?
नमस्ते, मेरो नाम Michael हो। मैले अमेरिका बाट आएको हुँ।	Hello, my name is Michael. I came from America.
के तपाइँ Americaबाट हुनुहुन्छ?	Are you from America?
मेरो परिवार पनि अमेरिकामा छ।	My family is also in America.
अमेरिका कस्तो देश हो?	What kind of country is America?
नमस्ते, मेरो नाम Michael हो। मैले अंग्रेज बाट आएको हुँ।	Hello, my name is Michael. I came from England.
के तपाइँ Englandबाट हुनुहुन्छ?	Are you from England?
मेरो परिवार पनि अंग्रेजमा छ।	My family is also in England.
अंग्रेज कस्तो देश हो?	What kind of country is England?
नमस्ते, मेरो नाम Michael हो। मैले जर्मनी बाट आएको हुँ।	Hello, my name is Michael. I came from Germany.
के तपाइँ Germanyबाट हुनुहुन्छ?	Are you from Germany?
मेरो परिवार पनि जर्मनीमा छ।	My family is also in Germany.
जर्मनी कस्तो देश हो?	What kind of country is Germany?
नमस्ते, मेरो नाम Michael हो। मैले फ्रान्स बाट आएको हुँ।	Hello, my name is Michael. I came from France.
के तपाइँ Franceबाट हुनुहुन्छ?	Are you from France?
मेरो परिवार पनि फ्रान्समा छ।	My family is also in France.
फ्रान्स कस्तो देश हो?	What kind of country is France?
नमस्ते, मेरो नाम Michael हो। मैले अस्ट्रेलिया बाट आएको हुँ।	Hello, my name is Michael. I came from Australia.
के तपाइँ Australiaबाट हुनुहुन्छ?	Are you from Australia?
मेरो परिवार पनि अस्ट्रेलियामा छ।	My family is also in Australia.
अस्ट्रेलिया कस्तो देश हो?	What kind of country is Australia?
नमस्ते, मेरो नाम Michael हो। मैले कनाडा बाट आएको हुँ।	Hello, my name is Michael. I came from Canada.
के तपाइँ Canadaबाट हुनुहुन्छ?	Are you from Canada?
मेरो परिवार पनि कनाडामा छ।	My family is also in Canada.
कनाडा कस्तो देश हो?	What kind of country is Canada?
नमस्ते, मेरो नाम Michael हो। मैले जापान बाट आएको हुँ।	Hello, my name is Michael. I came from Japan.
के तपाइँ Japanबाट हुनुहुन्छ?	Are you from Japan?
मेरो परिवार पनि जापानमा छ।	My family is also in Japan.
जापान कस्तो देश हो?	What kind of country is Japan?
नमस्ते, मेरो नाम Michael हो। मैले दक्षिण कोरिया बाट आएको हुँ।	Hello, my name is Michael. I came from South Korea.
के तपाइँ South Koreaबाट हुनुहुन्छ?	Are you from South Korea?
मेरो परिवार पनि दक्षिण कोरियामा छ।	My family is also in South Korea.
दक्षिण कोरिया कस्तो देश हो?	What kind of country is South Korea?
नमस्ते, मेरो नाम Michael हो। मैले स्पेन बाट आएको हुँ।	Hello, my name is Michael. I came from Spain.
के तपाइँ Spainबाट हुनुहुन्छ?	Are you from Spain?
मेरो परिवार पनि स्पेनमा छ।	My family is also in Spain.
स्पेन कस्तो देश हो?	What kind of country is Spain?
नमस्ते, मेरो नाम Michael हो। मैले इटली बाट आएको हुँ।	Hello, my name is Michael. I came from Italy.
के तपाइँ Italyबाट हुनुहुन्छ?	Are you from Italy?
मेरो परिवार पनि इटलीमा छ।	My family is also in Italy.
इटली कस्तो देश हो?	What kind of country is Italy?
नमस्ते, मेरो नाम Michael हो। मैले थाइल्यान्ड बाट आएको हुँ।	Hello, my name is Michael. I came from Thailand.
के तपाइँ Thailandबाट हुनुहुन्छ?	Are you from Thailand?
मेरो परिवार पनि थाइल्यान्डमा छ।	My family is also in Thailand.
थाइल्यान्ड कस्तो देश हो?	What kind of country is Thailand?
नमस्ते, मेरो नाम Michael हो। मैले मलेसिया बाट आएको हुँ।	Hello, my name is Michael. I came from Malaysia.
के तपाइँ Malaysiaबाट हुनुहुन्छ?	Are you from Malaysia?
मेरो परिवार पनि मलेसियामा छ।	My family is also in Malaysia.
मलेसिया कस्तो देश हो?	What kind of country is Malaysia?
नमस्ते, मेरो नाम Michael हो। मैले सिङ्गापुर बाट आएको हुँ।	Hello, my name is Michael. I came from Singapore.
के तपाइँ Singaporeबाट हुनुहुन्छ?	Are you from Singapore?
मेरो परिवार पनि सिङ्गापुरमा छ।	My family is also in Singapore.
सिङ्गापुर कस्तो देश हो?	What kind of country is Singapore?
नमस्ते, मेरो नाम Michael हो। मैले भारत बाट आएको हुँ।	Hello, my name is Michael. I came from India.
के तपाइँ Indiaबाट हुनुहुन्छ?	Are you from India?
मेरो परिवार पनि भारतमा छ।	My family is also in India.
भारत कस्तो देश हो?	What kind of country is India?
नमस्ते, मेरो नाम Michael हो। मैले श्रीलङ्का बाट आएको हुँ।	Hello, my name is Michael. I came from Sri Lanka.
के तपाइँ Sri Lankaबाट हुनुहुन्छ?	Are you from Sri Lanka?
मेरो परिवार पनि श्रीलङ्कामा छ।	My family is also in Sri Lanka.
श्रीलङ्का कस्तो देश हो?	What kind of country is Sri Lanka?
नमस्ते, मेरो नाम Linda हो। मैले अमेरिका बाट आएको हुँ।	Hello, my name is Linda. I came from America.
के तपाइँ Americaबाट हुनुहुन्छ?	Are you from America?
मेरो परिवार पनि अमेरिकामा छ।	My family is also in America.
अमेरिका कस्तो देश हो?	What kind of country is America?
नमस्ते, मेरो नाम Linda हो। मैले अंग्रेज बाट आएको हुँ।	Hello, my name is Linda. I came from England.
के तपाइँ Englandबाट हुनुहुन्छ?	Are you from England?
मेरो परिवार पनि अंग्रेजमा छ।	My family is also in England.
अंग्रेज कस्तो देश हो?	What kind of country is England?
नमस्ते, मेरो नाम Linda हो। मैले जर्मनी बाट आएको हुँ।	Hello, my name is Linda. I came from Germany.
के तपाइँ Germanyबाट हुनुहुन्छ?	Are you from Germany?
मेरो परिवार पनि जर्मनीमा छ।	My family is also in Germany.
जर्मनी कस्तो देश हो?	What kind of country is Germany?
नमस्ते, मेरो नाम Linda हो। मैले फ्रान्स बाट आएको हुँ।	Hello, my name is Linda. I came from France.
के तपाइँ Franceबाट हुनुहुन्छ?	Are you from France?
मेरो परिवार पनि फ्रान्समा छ।	My family is also in France.
फ्रान्स कस्तो देश हो?	What kind of country is France?
नमस्ते, मेरो नाम Linda हो। मैले अस्ट्रेलिया बाट आएको हुँ।	Hello, my name is Linda. I came from Australia.
के तपाइँ Australiaबाट हुनुहुन्छ?	Are you from Australia?
मेरो परिवार पनि अस्ट्रेलियामा छ।	My family is also in Australia.
अस्ट्रेलिया कस्तो देश हो?	What kind of country is Australia?
नमस्ते, मेरो नाम Linda हो। मैले कनाडा बाट आएको हुँ।	Hello, my name is Linda. I came from Canada.
के तपाइँ Canadaबाट हुनुहुन्छ?	Are you from Canada?
मेरो परिवार पनि कनाडामा छ।	My family is also in Canada.
कनाडा कस्तो देश हो?	What kind of country is Canada?
नमस्ते, मेरो नाम Linda हो। मैले जापान बाट आएको हुँ।	Hello, my name is Linda. I came from Japan.
के तपाइँ Japanबाट हुनुहुन्छ?	Are you from Japan?
मेरो परिवार पनि जापानमा छ।	My family is also in Japan.
जापान कस्तो देश हो?	What kind of country is Japan?
नमस्ते, मेरो नाम Linda हो। मैले दक्षिण कोरिया बाट आएको हुँ।	Hello, my name is Linda. I came from South Korea.
के तपाइँ South Koreaबाट हुनुहुन्छ?	Are you from South Korea?
मेरो परिवार पनि दक्षिण कोरियामा छ।	My family is also in South Korea.
दक्षिण कोरिया कस्तो देश हो?	What kind of country is South Korea?
नमस्ते, मेरो नाम Linda हो। मैले स्पेन बाट आएको हुँ।	Hello, my name is Linda. I came from Spain.
के तपाइँ Spainबाट हुनुहुन्छ?	Are you from Spain?
मेरो परिवार पनि स्पेनमा छ।	My family is also in Spain.
स्पेन कस्तो देश हो?	What kind of country is Spain?
नमस्ते, मेरो नाम Linda हो। मैले इटली बाट आएको हुँ।	Hello, my name is Linda. I came from Italy.
के तपाइँ Italyबाट हुनुहुन्छ?	Are you from Italy?
मेरो परिवार पनि इटलीमा छ।	My family is also in Italy.
इटली कस्तो देश हो?	What kind of country is Italy?
नमस्ते, मेरो नाम Linda हो। मैले थाइल्यान्ड बाट आएको हुँ।	Hello, my name is Linda. I came from Thailand.
के तपाइँ Thailandबाट हुनुहुन्छ?	Are you from Thailand?
मेरो परिवार पनि थाइल्यान्डमा छ।	My family is also in Thailand.
थाइल्यान्ड कस्तो देश हो?	What kind of country is Thailand?
नमस्ते, मेरो नाम Linda हो। मैले मलेसिया बाट आएको हुँ।	Hello, my name is Linda. I came from Malaysia.
के तपाइँ Malaysiaबाट हुनुहुन्छ?	Are you from Malaysia?
मेरो परिवार पनि मलेसियामा छ।	My family is also in Malaysia.
मलेसिया कस्तो देश हो?	What kind of country is Malaysia?
नमस्ते, मेरो नाम Linda हो। मैले सिङ्गापुर बाट आएको हुँ।	Hello, my name is Linda. I came from Singapore.
के तपाइँ Singaporeबाट हुनुहुन्छ?	Are you from Singapore?
मेरो परिवार पनि सिङ्गापुरमा छ।	My family is also in Singapore.
सिङ्गापुर कस्तो देश हो?	What kind of country is Singapore?
नमस्ते, मेरो नाम Linda हो। मैले भारत बाट आएको हुँ।	Hello, my name is Linda. I came from India.
के तपाइँ Indiaबाट हुनुहुन्छ?	Are you from India?
मेरो परिवार पनि भारतमा छ।	My family is also in India.
भारत कस्तो देश हो?	What kind of country is India?
नमस्ते, मेरो नाम Linda हो। मैले श्रीलङ्का बाट आएको हुँ।	Hello, my name is Linda. I came from Sri Lanka.
के तपाइँ Sri Lankaबाट हुनुहुन्छ?	Are you from Sri Lanka?
मेरो परिवार पनि श्रीलङ्कामा छ।	My family is also in Sri Lanka.
श्रीलङ्का कस्तो देश हो?	What kind of country is Sri Lanka?
नमस्ते, मेरो नाम William हो। मैले अमेरिका बाट आएको हुँ।	Hello, my name is William. I came from America.
के तपाइँ Americaबाट हुनुहुन्छ?	Are you from America?
मेरो परिवार पनि अमेरिकामा छ।	My family is also in America.
अमेरिका कस्तो देश हो?	What kind of country is America?
नमस्ते, मेरो नाम William हो। मैले अंग्रेज बाट आएको हुँ।	Hello, my name is William. I came from England.
के तपाइँ Englandबाट हुनुहुन्छ?	Are you from England?
मेरो परिवार पनि अंग्रेजमा छ।	My family is also in England.
अंग्रेज कस्तो देश हो?	What kind of country is England?
नमस्ते, मेरो नाम William हो। मैले जर्मनी बाट आएको हुँ।	Hello, my name is William. I came from Germany.
के तपाइँ Germanyबाट हुनुहुन्छ?	Are you from Germany?
मेरो परिवार पनि जर्मनीमा छ।	My family is also in Germany.
जर्मनी कस्तो देश हो?	What kind of country is Germany?
नमस्ते, मेरो नाम William हो। मैले फ्रान्स बाट आएको हुँ।	Hello, my name is William. I came from France.
के तपाइँ Franceबाट हुनुहुन्छ?	Are you from France?
मेरो परिवार पनि फ्रान्समा छ।	My family is also in France.
फ्रान्स कस्तो देश हो?	What kind of country is France?
नमस्ते, मेरो नाम William हो। मैले अस्ट्रेलिया बाट आएको हुँ।	Hello, my name is William. I came from Australia.
के तपाइँ Australiaबाट हुनुहुन्छ?	Are you from Australia?
मेरो परिवार पनि अस्ट्रेलियामा छ।	My family is also in Australia.
अस्ट्रेलिया कस्तो देश हो?	What kind of country is Australia?
नमस्ते, मेरो नाम William हो। मैले कनाडा बाट आएको हुँ।	Hello, my name is William. I came from Canada.
के तपाइँ Canadaबाट हुनुहुन्छ?	Are you from Canada?
मेरो परिवार पनि कनाडामा छ।	My family is also in Canada.
कनाडा कस्तो देश हो?	What kind of country is Canada?
नमस्ते, मेरो नाम William हो। मैले जापान बाट आएको हुँ।	Hello, my name is William. I came from Japan.
के तपाइँ Japanबाट हुनुहुन्छ?	Are you from Japan?
